car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
BRIO SATYA E 1.2,Honda,2019,81.726,Bogor,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,154000000,3140000
HR-V SE 1.5,Honda,2019,95.389,Bandung,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,266000000,5420000
AYLA R 1.2,Daihatsu,2019,57.138,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000
CR-V TURBO 1.5,Honda,2017,117.511,Tangerang Selatan,Automatic,even plate,0,0,1,0,1,0,0,0,0,0,0,336000000,6850000
YARIS S TRD 1.5,Toyota,2019,30.898,Depok,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,218000000,4440000
ROCKY R 1.0,Daihatsu,2021,21.304,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,216000000,4400000
ERTIGA GL 1.4,Suzuki,2016,132.27,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,129000000,2630000
KIJANG INNOVA REBORN V 2.0,Toyota,2020,67.327,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,336000000,6850000
BRIO SATYA E 1.2,Honda,2018,55.24,Tangerang Selatan,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,142000000,2890000
AYLA R 1.2,Daihatsu,2019,17.916,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
RUSH S TRD SPORTIVO 1.5,Toyota,2020,69.785,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,232000000,4730000
YARIS S TRD 1.5,Toyota,2021,39.191,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,240000000,4890000
ALMAZ LT LUX CVT 1.5,Wuling,2021,9.775,Tangerang Selatan,Automatic,odd plate,0,1,0,0,0,0,0,0,0,0,0,241000000,4910000
AYLA R DLX 1.2,Daihatsu,2019,33.635,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000
AGYA G 1.0,Toyota,2016,76.931,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,95000000,1940000
AYLA X 1.0,Daihatsu,2017,93.445,Jakarta Pusat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,93000000,1890000
AYLA X 1.0,Daihatsu,2018,86.462,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,98000000,2000000
CALYA G 1.2,Toyota,2019,40.358,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,124000000,2530000
RUSH S TRD SPORTIVO 1.5,Toyota,2018,47.81,Depok,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,207000000,4220000
CORTEZ T LUX 1.5,Wuling,2019,72.65,Jakarta Timur,Automatic,odd plate,0,1,0,1,0,0,0,0,0,0,0,178000000,3630000
XPANDER EXCEED 1.5,Mitsubishi,2019,34.947,Tangerang Selatan,Manual,even plate,1,0,1,0,0,0,0,0,0,0,0,198000000,4030000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,98.742,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
IGNIS GL 1.2,Suzuki,2019,26.233,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,119000000,2420000
AGYA G TRD 1.2,Toyota,2018,55.01,Tangerang Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,126000000,2570000
BALENO HATCHBACK 1.4,Suzuki,2017,24.032,Jakarta Selatan,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,152000000,3100000
AGYA G TRD 1.0,Toyota,2017,10.656,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,105000000,2140000
AYLA R 1.2,Daihatsu,2018,78.944,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,113000000,2300000
ECLIPSE CROSS ULTIMATE 1.5,Mitsubishi,2020,42.516,Bogor,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,355000000,7230000
BRIO SATYA E 1.2,Honda,2020,64.684,Bekasi,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,159000000,3240000
AGYA GR SPORT 1.2,Toyota,2022,22.803,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,154000000,3140000
AYLA R 1.2,Daihatsu,2020,42.587,Bekasi,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,136000000,2770000
RUSH S TRD 1.5,Toyota,2018,67.595,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
TERIOS R 1.5,Daihatsu,2018,28.869,Tangerang Selatan,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,194000000,3950000
TERIOS X DLX 1.5,Daihatsu,2019,70.234,Jakarta Timur,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,192000000,3910000
HR-V E 1.5,Honda,2016,65.219,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,210000000,4280000
HR-V E 1.5,Honda,2016,74.516,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,211000000,4300000
HR-V E PLUS 1.5,Honda,2018,71.135,Bogor,Automatic,even plate,0,0,0,1,0,0,0,0,0,0,1,255000000,5200000
2 GT SKYACTIV 1.5,Mazda,2015,94.312,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,184000000,3750000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,66.029,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,219000000,4460000
KIJANG INNOVA REBORN G 2.0,Toyota,2017,103.601,Malang,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,248000000,5050000
AGYA G TRD 1.2,Toyota,2018,30.738,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,120000000,2440000
AGYA G TRD 1.2,Toyota,2018,45.824,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,121000000,2470000
X-TRAIL 2.0,Nissan,2016,117.889,Tangerang Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,1,0,0,190000000,3870000
HR-V E 1.5,Honda,2018,54.437,Depok,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,236000000,4810000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,51.86,Depok,Manual,odd plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
BRIO RS 1.2,Honda,2020,28.884,Tangerang Selatan,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,183000000,3730000
BRIO RS 1.2,Honda,2018,21.701,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,151000000,3080000
ERTIGA GX 1.4,Suzuki,2017,110.889,Bogor,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,149000000,3040000
ROCKY R 1.0,Daihatsu,2021,22.709,Jakarta Timur,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,218000000,4440000
RUSH S TRD SPORTIVO 1.5,Toyota,2018,51.41,Depok,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,213000000,4340000
SIENTA Q 1.5,Toyota,2018,64.808,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,199000000,4050000
CONFERO S L LUX 1.5,Wuling,2020,12.79,Bandung,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,127000000,2590000
SX4 S-CROSS 1.5,Suzuki,2017,96.199,Depok,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,169000000,3440000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,67.803,Depok,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
ERTIGA SPORT GT 1.5,Suzuki,2019,78.472,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,196000000,3990000
IGNIS GX 1.2,Suzuki,2017,103.106,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,129000000,2630000
SIGRA R DLX 1.2,Daihatsu,2016,99.317,Bogor,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,111000000,2260000
SIGRA D 1.0,Daihatsu,2019,29.119,Surabaya,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000
